Property                                     Type     Read-only  Value
ALLOWED_SIM_MODELS                           string*  true       tlm rtl
BASE_BOARD_PART                              string   true       
BOARD                                        string   true       
BOARD_CONNECTIONS                            string   true       
CLASS                                        string   true       ip
CONFIG.ADDN_UI_CLKOUT1.INSERT_VIP            string   false      0
CONFIG.ADDN_UI_CLKOUT1_FREQ_HZ               string   false      None
CONFIG.ADDN_UI_CLKOUT2.INSERT_VIP            string   false      0
CONFIG.ADDN_UI_CLKOUT2_FREQ_HZ               string   false      None
CONFIG.ADDN_UI_CLKOUT3.INSERT_VIP            string   false      0
CONFIG.ADDN_UI_CLKOUT3_FREQ_HZ               string   false      None
CONFIG.ADDN_UI_CLKOUT4.INSERT_VIP            string   false      0
CONFIG.ADDN_UI_CLKOUT4_FREQ_HZ               string   false      None
CONFIG.AL_SEL                                string   false      0
CONFIG.C0.ADDR_WIDTH                         string   false      17
CONFIG.C0.BANK_GROUP_WIDTH                   string   false      1
CONFIG.C0.CKE_WIDTH                          string   false      1
CONFIG.C0.CK_WIDTH                           string   false      1
CONFIG.C0.CS_WIDTH                           string   false      1
CONFIG.C0.ControllerType                     string   false      DDR4_SDRAM
CONFIG.C0.DDR4_ACT_SKEW                      string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_0                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_1                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_2                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_3                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_4                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_5                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_6                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_7                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_8                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_9                   string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_10                  string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_11                  string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_12                  string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_13                  string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_14                  string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_15                  string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_16                  string   false      0
CONFIG.C0.DDR4_ADDR_SKEW_17                  string   false      0
CONFIG.C0.DDR4_AUTO_AP_COL_A3                string   false      false
CONFIG.C0.DDR4_AutoPrecharge                 string   false      false
CONFIG.C0.DDR4_AxiAddressWidth               string   false      32
CONFIG.C0.DDR4_AxiArbitrationScheme          string   false      RD_PRI_REG
CONFIG.C0.DDR4_AxiDataWidth                  string   false      64
CONFIG.C0.DDR4_AxiIDWidth                    string   false      4
CONFIG.C0.DDR4_AxiNarrowBurst                string   false      false
CONFIG.C0.DDR4_AxiSelection                  string   false      false
CONFIG.C0.DDR4_BA_SKEW_0                     string   false      0
CONFIG.C0.DDR4_BA_SKEW_1                     string   false      0
CONFIG.C0.DDR4_BG_SKEW_0                     string   false      0
CONFIG.C0.DDR4_BG_SKEW_1                     string   false      0
CONFIG.C0.DDR4_BurstLength                   string   false      8
CONFIG.C0.DDR4_BurstType                     string   false      Sequential
CONFIG.C0.DDR4_CKE_SKEW_0                    string   false      0
CONFIG.C0.DDR4_CKE_SKEW_1                    string   false      0
CONFIG.C0.DDR4_CKE_SKEW_2                    string   false      0
CONFIG.C0.DDR4_CKE_SKEW_3                    string   false      0
CONFIG.C0.DDR4_CK_SKEW_0                     string   false      0
CONFIG.C0.DDR4_CK_SKEW_1                     string   false      0
CONFIG.C0.DDR4_CK_SKEW_2                     string   false      0
CONFIG.C0.DDR4_CK_SKEW_3                     string   false      0
CONFIG.C0.DDR4_CLKFBOUT_MULT                 string   false      7
CONFIG.C0.DDR4_CLKOUT0_DIVIDE                string   false      7
CONFIG.C0.DDR4_CS_SKEW_0                     string   false      0
CONFIG.C0.DDR4_CS_SKEW_1                     string   false      0
CONFIG.C0.DDR4_CS_SKEW_2                     string   false      0
CONFIG.C0.DDR4_CS_SKEW_3                     string   false      0
CONFIG.C0.DDR4_Capacity                      string   false      512
CONFIG.C0.DDR4_CasLatency                    string   false      11
CONFIG.C0.DDR4_CasWriteLatency               string   false      11
CONFIG.C0.DDR4_ChipSelect                    string   false      true
CONFIG.C0.DDR4_Clamshell                     string   false      false
CONFIG.C0.DDR4_CustomParts                   string   false      no_file_loaded
CONFIG.C0.DDR4_DIVCLK_DIVIDE                 string   false      1
CONFIG.C0.DDR4_DataMask                      string   false      DM_NO_DBI
CONFIG.C0.DDR4_DataWidth                     string   false      32
CONFIG.C0.DDR4_EN_PARITY                     string   false      false
CONFIG.C0.DDR4_Ecc                           string   false      false
CONFIG.C0.DDR4_Enable_LVAUX                  string   false      false
CONFIG.C0.DDR4_InputClockPeriod              string   false      5000
CONFIG.C0.DDR4_LR_SKEW_0                     string   false      0
CONFIG.C0.DDR4_LR_SKEW_1                     string   false      0
CONFIG.C0.DDR4_MCS_ECC                       string   false      false
CONFIG.C0.DDR4_Mem_Add_Map                   string   false      ROW_COLUMN_BANK
