ball	function	reason
AP14	IO_L1N_AD11N_44	not used in minimal system; no external interface
AN14	IO_L1P_AD11P_44	not used in minimal system; no external interface
AN13	IO_L2N_AD10N_44	not used in minimal system; no external interface
AM14	IO_L2P_AD10P_44	not used in minimal system; no external interface
AP12	IO_L3N_AD9N_44	not used in minimal system; no external interface
AN12	IO_L3P_AD9P_44	not used in minimal system; no external interface
AM13	IO_L4N_AD8N_44	not used in minimal system; no external interface
AL13	IO_L4P_AD8P_44	not used in minimal system; no external interface
AK14	IO_L5N_HDGC_AD7N_44	not used in minimal system; no external interface
AK15	IO_L5P_HDGC_AD7P_44	not used in minimal system; no external interface
AL12	IO_L6N_HDGC_AD6N_44	not used in minimal system; no external interface
AK13	IO_L6P_HDGC_AD6P_44	not used in minimal system; no external interface
AH13	IO_L7N_HDGC_AD5N_44	not used in minimal system; no external interface
AH14	IO_L7P_HDGC_AD5P_44	not used in minimal system; no external interface
AJ14	IO_L8N_HDGC_AD4N_44	not used in minimal system; no external interface
AJ15	IO_L8P_HDGC_AD4P_44	not used in minimal system; no external interface
AF13	IO_L9N_AD3N_44	not used in minimal system; no external interface
AE13	IO_L9P_AD3P_44	not used in minimal system; no external interface
AG13	IO_L10N_AD2N_44	not used in minimal system; no external interface
AG14	IO_L10P_AD2P_44	not used in minimal system; no external interface
AG15	IO_L11N_AD1N_44	not used in minimal system; no external interface
AF15	IO_L11P_AD1P_44	not used in minimal system; no external interface
AE14	IO_L12N_AD0N_44	not used in minimal system; no external interface
AE15	IO_L12P_AD0P_44	not used in minimal system; no external interface
K20	IO_L1N_AD11N_47	not used in minimal system; no external interface
L20	IO_L1P_AD11P_47	not used in minimal system; no external interface
K19	IO_L2N_AD10N_47	not used in minimal system; no external interface
L19	IO_L2P_AD10P_47	not used in minimal system; no external interface
H21	IO_L3N_AD9N_47	not used in minimal system; no external interface
J21	IO_L3P_AD9P_47	not used in minimal system; no external interface
J20	IO_L4N_AD8N_47	not used in minimal system; no external interface
J19	IO_L4P_AD8P_47	not used in minimal system; no external interface
F21	IO_L5N_HDGC_AD7N_47	not used in minimal system; no external interface
G21	IO_L5P_HDGC_AD7P_47	not used in minimal system; no external interface
F20	IO_L6N_HDGC_AD6N_47	not used in minimal system; no external interface
G20	IO_L6P_HDGC_AD6P_47	not used in minimal system; no external interface
D22	IO_L7N_HDGC_AD5N_47	not used in minimal system; no external interface
E22	IO_L7P_HDGC_AD5P_47	not used in minimal system; no external interface
D20	IO_L8N_HDGC_AD4N_47	not used in minimal system; no external interface
E20	IO_L8P_HDGC_AD4P_47	not used in minimal system; no external interface
C22	IO_L9N_AD3N_47	not used in minimal system; no external interface
D21	IO_L9P_AD3P_47	not used in minimal system; no external interface
B21	IO_L10N_AD2N_47	not used in minimal system; no external interface
C21	IO_L10P_AD2P_47	not used in minimal system; no external interface
A22	IO_L11N_AD1N_47	not used in minimal system; no external interface
A21	IO_L11P_AD1P_47	not used in minimal system; no external interface
A20	IO_L12N_AD0N_47	not used in minimal system; no external interface
B20	IO_L12P_AD0P_47	not used in minimal system; no external interface
H19	IO_L1N_AD15N_48	not used in minimal system; no external interface
H18	IO_L1P_AD15P_48	not used in minimal system; no external interface
H17	IO_L2N_AD14N_48	not used in minimal system; no external interface
J17	IO_L2P_AD14P_48	not used in minimal system; no external interface
K18	IO_L3N_AD13N_48	not used in minimal system; no external interface
L18	IO_L3P_AD13P_48	not used in minimal system; no external interface
K17	IO_L4N_AD12N_48	not used in minimal system; no external interface
L17	IO_L4P_AD12P_48	not used in minimal system; no external interface
G19	IO_L5N_HDGC_48	not used in minimal system; no external interface
G18	IO_L5P_HDGC_48	not used in minimal system; no external interface
F18	IO_L6N_HDGC_48	not used in minimal system; no external interface
F17	IO_L6P_HDGC_48	not used in minimal system; no external interface
D19	IO_L7N_HDGC_48	not used in minimal system; no external interface
E19	IO_L7P_HDGC_48	not used in minimal system; no external interface
E18	IO_L8N_HDGC_48	not used in minimal system; no external interface
E17	IO_L8P_HDGC_48	not used in minimal system; no external interface
C17	IO_L9N_AD11N_48	not used in minimal system; no external interface
D17	IO_L9P_AD11P_48	not used in minimal system; no external interface
B19	IO_L10N_AD10N_48	not used in minimal system; no external interface
B18	IO_L10P_AD10P_48	not used in minimal system; no external interface
C19	IO_L11N_AD9N_48	not used in minimal system; no external interface
C18	IO_L11P_AD9P_48	not used in minimal system; no external interface
A18	IO_L12N_AD8N_48	not used in minimal system; no external interface
A17	IO_L12P_AD8P_48	not used in minimal system; no external interface
F15	IO_L1N_AD15N_49	not used in minimal system; no external interface
F16	IO_L1P_AD15P_49	not used in minimal system; no external interface
C16	IO_L2N_AD14N_49	not used in minimal system; no external interface
D16	IO_L2P_AD14P_49	not used in minimal system; no external interface
A16	IO_L3N_AD13N_49	not used in minimal system; no external interface
B16	IO_L3P_AD13P_49	not used in minimal system; no external interface
A15	IO_L4N_AD12N_49	not used in minimal system; no external interface
B15	IO_L4P_AD12P_49	not used in minimal system; no external interface
D15	IO_L5N_HDGC_49	not used in minimal system; no external interface
E15	IO_L5P_HDGC_49	not used in minimal system; no external interface
D14	IO_L6N_HDGC_49	not used in minimal system; no external interface
E14	IO_L6P_HDGC_49	not used in minimal system; no external interface
B14	IO_L7N_HDGC_49	not used in minimal system; no external interface
C14	IO_L7P_HDGC_49	not used in minimal system; no external interface
B13	IO_L8N_HDGC_49	not used in minimal system; no external interface
C13	IO_L8P_HDGC_49	not used in minimal system; no external interface
A12	IO_L9N_AD11N_49	not used in minimal system; no external interface
A13	IO_L9P_AD11P_49	not used in minimal system; no external interface
B12	IO_L10N_AD10N_49	not used in minimal system; no external interface
C12	IO_L10P_AD10P_49	not used in minimal system; no external interface
D12	IO_L11N_AD9N_49	not used in minimal system; no external interface
E12	IO_L11P_AD9P_49	not used in minimal system; no external interface
E13	IO_L12N_AD8N_49	not used in minimal system; no external interface
F13	IO_L12P_AD8P_49	not used in minimal system; no external interface
J10	IO_L1N_AD15N_50	not used in minimal system; no external interface
J11	IO_L1P_AD15P_50	not used in minimal system; no external interface
G10	IO_L2N_AD14N_50	not used in minimal system; no external interface
H10	IO_L2P_AD14P_50	not used in minimal system; no external interface
E10	IO_L3N_AD13N_50	not used in minimal system; no external interface
F10	IO_L3P_AD13P_50	not used in minimal system; no external interface
D10	IO_L4N_AD12N_50	not used in minimal system; no external interface
D11	IO_L4P_AD12P_50	not used in minimal system; no external interface
G11	IO_L5N_HDGC_50	not used in minimal system; no external interface
H11	IO_L5P_HDGC_50	not used in minimal system; no external interface
F11	IO_L6N_HDGC_50	not used in minimal system; no external interface
F12	IO_L6P_HDGC_50	not used in minimal system; no external interface
H12	IO_L7N_HDGC_50	not used in minimal system; no external interface
J12	IO_L7P_HDGC_50	not used in minimal system; no external interface
G13	IO_L8N_HDGC_50	not used in minimal system; no external interface
H13	IO_L8P_HDGC_50	not used in minimal system; no external interface
G14	IO_L9N_AD11N_50	not used in minimal system; no external interface
G15	IO_L9P_AD11P_50	not used in minimal system; no external interface
H14	IO_L10N_AD10N_50	not used in minimal system; no external interface
